"Sample_1" "Sample_2" "Sample_3" "Sample_4" "Sample_5" "Sample_6" "Sample_7" "Sample_8" "Sample_9" "Sample_10" "Sample_11" "Sample_12" "Sample_13" "Sample_14" "Sample_15" "Sample_16"
"BMS1" 146 0 253 0 0 152 119 0 49 198 0 73 0 134 342 0
"SYNC" 63 77 120 47 43 25 11 35 38 24 130 26 0 0 37 0
"NFIB" 34 0 0 56 0 0 0 0 0 0 0 0 0 0 0 0
"RAB11FIP3" 0 115 0 0 0 0 0 0 70 0 78 0 0 0 0 0
"COG1" 0 0 0 0 0 0 0 0 0 49 32 15 0 0 0 0
"C5orf38" 191 0 0 0 0 291 0 78 0 103 151 90 60 58 189 0
"FAM126B" 129 125 0 0 0 0 0 0 143 0 114 0 0 232 138 0
"SUCLA2" 0 0 153 0 114 38 90 51 51 65 111 0 96 118 57 100
"SCN4A" 158 0 244 0 0 107 0 0 0 113 0 99 0 168 89 0
"CISD1" 0 0 0 0 0 27 74 0 0 0 0 0 0 0 0 0
